nom,iata,icao
P K Airpark,,
P W Johnson Memorial Airport,,
P-K Ranch Airport,,
P.J. Killian Airport,,
Pace Airstrip,,
Paces South Farms Airport,,
Paiela Airport,PLE,
Painter Landing Strip,,
Paisano Ranch Airport,,
Pake Airport,,
Palalto Airport,,
Palestine Municipal Airport,,KPSN
Palm Beach West County Jail Helistop,,
Palmer Airport,,
Palmer Airport,,
Palmer Village-Napier Lake Airport,,
Palmetto Air Plantation Airport,,
Palms West Hospital Helistop,,
Palo Duro Airport,,
Pambwa,PAW,
Pamlico Airport,,
Pamol Airport,PAY,WBKP
Pampa,,
Panacea Airport,,
Pangerl Airport,,
Panhandle-Carson County Airport,,
Paniola Air Ranch,,
Pannier Flying Club Airport,,
Panola County Airport,,KPMU
Panola County Airport,,
Panther Creek Airport,,
Papondetta Airport,EIA
Paradise Air Haven Airport,,
Paradise Airpark,,
Param,PPX,
Paramount Air Airport,,
Paris Landing Airpark,,
Parish Aerodrome Airport,,
Park Airport,,
Parker Airport,,
Parker Airport,,
Parker Airport,,
Parker Landing Strip,,
Parker Place Airport,,
Parking Garage Helistop,,
Parks Airport,,
Parks College Airport,,
Parrish Airport,,
Parrish Airstrip,,
Parrish Brothers Private Airport,,
Parrish RLA Airport,,
Pasley Airport,,
Passer Landing Strip,,
Pata Skyhaven Airport,,
Pate Lake Seaplane Base,,
Patterson Farms Airport,,
Patterson Island Airport,,
Patterson Ranch Airport,,
Patton Valley Airport,,
Paul E. Kroenlein Airport,,
Paul Landing Strip,,
Paul Pittman Memorial Airport,,
Paul Ridder Ranch Airport,,
Paullina Municipal Airport,,
Paulsboro Refinery,,
Pavek Airport,,
Pavlat Airport,,
Pawhuska Municipal Airport,,
Pawlet Ranch Airport,,
Pawnee City Municipal Airport,,
Pawnee Municipal Airport,,
Paxton Airport,,
Paxton Airport,,
Payne Airport,,
Paynes Airport,,
Paynesville,,
Paynesville Municipal Airport,,KPEX
Payson Ranch Airport,,
Pbeaaye Airport,,
Pea Patch Aerodrome,,
Pea Patch Airport,,
Peach Orchard Airport,,
Peachtree Landings Airport,,
Peacock Airport,,
Pear Grove Airport,,
Pearson Ranch Private Airport,,
Pearson's Farm Airport,,
Peaslees Airstrip,,
Peavy Farms Airport,,
Pecan Patch Airstrip,,
Pecan Plantation Airport,,
Peck Air Park,,
Peck Landing Strip,,
Pegasus Ranch Aerodrome,,
Pegasus Ranch Airport,,
Pegasus Run Airport,,
Pella Municipal Airport,,KPEA
Pellar Farm Airport,,
Pemble Landing Strip,,
Pembroke Farm Airport,,
Pender Municipal Airport,,
Penman Airport,,
Penrose Airport,,
Pensinger Airport,,
Pentecost Airport,,
Percival Springs Airport,,
Perdido Winds Airpark,,
Perkins Landing Strip,,
Perkins Lazy Meadows Airport,,
Perkins Memorial Airpark,,
Perkins-Prothro Cimarron Ranch Airport,,
Perl Acres Airport,,
Perry Aero Park Airport,,
Perry Airport,,
Perry Airport,,
Perry Ranch Airport,,
Perry-Fort Valley Airport,,
Perrys Airport,,
Perryton,,
Perryton Ochiltree County Airport,,KPYX
Persimmon Gap Ranch Airport,,
Pester Airport,,
Peterman Airport,,
Petermen Landing Strip,,
Peters Airport,,
Petersburg Airport,,
Petersen Landing Strip,,
Peterson Airport,,
Peterson Airport,,
Peterson Airport,,
Peterson Farm Airport,,
Peterson Farms Airport,,
Petes Airpark,,
Petes Airport,,
Petes Patch Airport,,
Pettigrew Moore Aerodrome,,
Petty Farms Airport,,
Pevey Airport,,
Pewanogowink-Banks Airport,,
Pfeffer & Son Farms Airport,,
Pfister Helistop,,
Phalanx Airport,,
Pheasant Wings Airport,,
Phelps Airport,,
Pherigo Airport,,
Philbrick Mountain Airport,,
Philip R Bunn Airport,,
Philip Ranch Airport,,
Philippi/Barbour County Regional Airport,,
Phillips Airport,,
Phillips Airport,,
Phillips Airport,,
Phillips Airport,,
Phillips Airstrip,,
Phillips Corporation Airport,,
Phillips Farm Airport,,
Phillipsburg Municipal Airport,,KPHG
Phipps Airport,,
Phoenix Airport,,
Piano Ranch Airport,,
Piatt County Airport,,
Picayune Airport,,
Pick Landing Strip,,
Pickens Airport,,
Pickle Plantation Airport,,
Picosa Ranch Airport,,
Piedmont Municipal Airport,,KPYN
Pierce Aero Landing Strip,,
Pierce Airport,,
Pierson Municipal Airport,,
Pigeon Airport,,
Piggott Municipal Airport,,
Pike River Landing Airport,,
Pikes Airport,,
Pikes Point Airport,,NZPK
Pilkinton Airstrip,,
Pillow Hill Airport,,
Pilot Country Airport,,
Pilot Pointe Estates Airport,,
Pilots Cove Airport,,
Pilots Cove Airport,,
Pilots Ridge Airport,,
Pimaga Airport,PMP,
Pinckneyville-Du Quoin Airport,,KPJY
Pine Acres,,
Pine City Municipal Airport,,
Pine Hill Airport,,
Pine Island Airport,,
Pine Island Helistop,,
Pine Mountain Airpark,,
Pine Ridge Helistop,,
Pine River Regional Airport,,KPWC
Pine Shadows Airpark,,
Pine Sod Ranch Airport,,
Pine Village Airport,,
Pinebloom Plantation Airport,,
Pinebrook Estates Airport,,
Pineland Municipal Airport,,
Pineridge Stolport,,
Pineville Municipal Airport,,
Pinewood Airport,,
Piney Bend Airport,,
Piney Creek Airport,,
Piney Point Airport,,
Piney Ridge Airport,,
Pingston Aeroworks Airport,,
Pinoak Airport,,
Pinon Ranch Airport,,
Pinsons Cottonpatch Airport,,
Piolis Brookside Airport,,
Pioneer Ranch Landing Strip,,
Piper Airport,,
Piper's Landing,,
Pippen-York Ranch Airport,,
Pippenger Airport,,
Pista Mattei,,
Pitcock Rosillos Mountain Ranch Airport,,
Pitman,,
Pitt County Memorial Hospital Airport,,
Pittman Oaks Airport,,
Pitts Ranch Airport,,
Placid Lakes Airport,,
Plain Crazy Airport,,
Plains Municipal Airport,,
Plainsview Ranch Airport,,
Plainwell Municipal Airport,,
Plane Haven Airport,,
Plantation Airpark,,KJYL
Plantation Key Seaplane Base,,
Plastics Park Airport,,
Platte Valley Airport,,
Plattsburg Airpark,,
Plattsmouth Municipal Airport,,KPMV
Pleasant Grove Airpark,,
Pleasant Valley Airport,,
Pleasanton Municipal Airport,,KPEZ
Pleasure Valley Landing Area,,
Plew Airport,,
Plugger Airport,,
Plum Creek Farm Airport,,
Plummer Airport,,
Pocahontas Municipal Airport,,
Pocotaligo Airport,,
Poe's Airport,,
Pokety Airport,,
Polaks Sky Ranch,,
Polanowice,,
Police Airport,,
Police Prison Farm Airport,,
Polk Ranch Airport,,
Polk Ranch Airport,,
Polly Ranch Airport,,
Pomme Aero Airport,,
Pomona Lake Airport,,
Pond Creek Municipal Airport,,
Pond View Private Airport,,
Pontiac,,
Pontiac Municipal Airport,,KPNT
Pontotoc County Airport,,
Poole Farm Airport,,
Poolsbrook Aerodrome,,
Poplarville-Pearl River County Airport,,
Port Lavaca,,
Port Newark Helistop,,
Port O'Connor Base,,
Port O'Connor Private Airport,,
Port O'Maine Airport,,
Port of the Islands Airport,,
Port Paradise Farms Airport,,
Porter Airport,,
Porter Airport,,
Porter Stolport,,
Post Oak Ranch Airport,,
Post-Air Airport,,
Post-Garza County Municipal Airport,,
Potato Blossom Airport,,
Potoczak Airport,,
Potomac Airpark,,
Potter Airport,,
Pottinger RLA Airport,,
Potts Landing Strip,,
Pow-Wow Seaplane Base,,
Powderly Airport,,
Powell Avenue Airport,,
Powers Airport,,
Powis Airport,,
Pownal Airport,,
Pownell Landing Strip,,
Poyner Airport,,
Poznan/Krzesiny,,
Prade Ranch Airport,,
Prague Municipal Airport,,
Prairie Airport,,
Prairie City Airport,,
Prairie City-Krohn Airport,,
Prairie Cottage Airport,,
Prairie Creek Airport,,
Prairie Creek Ranch Airport,,
Prairie Island-Schaller Airport,,
Prairie Lake Hunt Club Airport,,
Prairie Lake Private Res Sp Mooring Facility Seaplane Base,,
Prairie Ronde Airport,,
Prater Ranch Airport,,
Pratermill Flight Park Airport,,
Prather Landing Strip,,
Pratt Airport,,
Pratt's Eastern Divide Airport,,
Prattsburg Airport,,
Prentiss-Jefferson Davis County Airport,,
Presque Isle County Airport,,KPZQ
Pribyl Ranch Landing Strip,,
Price Airport,,
Price Landing Strip,,
Price Landing Strip,,
Price's Airport,,
Prichard Airstrip,,
Priddy Airport,,
Primghar Airport,,
Prince Airport,,
Priour Ranch Airport,,
Prison Canyon Ranch Airport,,
Progreso Airport,,
Propst Airport,,
Propwash Airport,,
Protection Municipal Airport,,
Providence Airpark,,
Providence Airport,,
Pruss Airport,,
PSE and G Trenton Distribution Helistop,,
PT Enterprise D&W Ranch Airport,,
Puerto Leda Airport,,
Puesta Del Sol Airport,,
Pulaski Airport,,
Pulley Airport,,
Pulliam Airport,,
Pumani,PMN,
Pungo District Hospital Airport,,
Purolator Helistop,,
Putty Ranch Airport,,
Putz Aero Incorporated Airport,,
Pyramid Ranch Airport,,
Quad-City Seaplane Base,,
Quahadi Ranch Airport,,
Quanah Municipal Airport,,
Quarantine Bay Seaplane Base,,
Quarterway Airport,,
Quast Airport,,
Quatro Ranch Airport,,
Queen City Municipal Airport,,
Quick Airport,,
Quiet Acres Airport,,
Quinter Air Strip Airport,,
Quinton Landing Strip,,
Quitman Brooks County Airport,,
R & R Aero Airport,,
R & S Buzzard Airport,,
R and D Aviation Landing Strip,,
R and J Livestock Company Airport,,
R and R Farms Airport,,
R J C Farms Inc Airport,,
R M Harris Airport,,
R O Ranch Airport,,
R S Auto Airport,,
R T Le Blanc Landing Strip,,
R V Ranch Airport,,
Rab Ranch Airport,,
Rabaraba,RBP,
Rabb and Nobra Airport,,
Rabb Dusting Inc Airport,,
Rabbit Lane Airport,,
Rabbit Run Airport,,
Raceway Airport,,
Rachal Airport,,
Radcliffe Landing Strip,,
Radloff's Cedar View Farms Airport,,
Radzyn,,
Raeford Rhyne Airpark,,
Raether Airport,,
Rafter J Airport,,
Rafter P Airport,,
Ragged Island Airport,,
Ragsdale Road Airport,,
Ragtime Aerodrome,,
Ragwing Acres Airport,,
Rainbow's End Airport,,
Rainelle Airport,,
Raines Lumber Airport,,
Raju Airport,,
Rak Airport,,
Rakanda,RAA,
Raleigh East Airport,,
Ralph E. Daniels Airport,,
Ralph Jacobs Airport,,
Ralphs Seaplane Base,,
Ramerth Airport,,
Ramsy Farm Airport,,
Ranau Airport,RNU,WBKR
Ranch-Aero Airport,,
Rancho Blanco Airport,,
Rancho Buena Vista Airport,,
Rancho Del Cielo Airport,,
Rancho Ecantado Airport,,
Rancho Grande Airport,,
Rancho Hielo Brazos Airport,,
Rancho Rio Landing Strip,,
Rancho Verde Airport,,
Randall Greene Landing Strip,,
Randall's Roost Airport,,
Randolph M Wells Airport,,
Rands Airport,,
Ranger Airport,,
Ranger Municipal Airport,,
Ranken Airport,,
Rans Airport,,
Ranson Strip,,
Rantoul,,
Rapids Airway Airport,,
Rapp Landing Strip,,
Rash Airport,,
Rashs Acres Airport,,
Rasmussen Landing Strip,,
Ratcliff Airport,,
Rathbun Lake Airport,,
Raven's Nest Airport,,
Raven's Run Airport,,
Rawls Ranch Airport,,
Ray Airport,,
Ray Community Airport,,
Ray Farm Airport,,
Ray Johnson Inc Airport,,
Ray Preston Airport,,
Ray Smith Farm Airport,,
Ray's Roost Airport,,
Ray's Stall Airport,,
Raymond Classen Memorial Airport,,
Raymond RLA Airport,,
Rays Landing Strip,,
Razorback Airport,,
RCA Landing Strip,,
Read Airport,,
Reading Airport,,
Reagan County Airport,,
Real County Airport,,
Reality Plantation Airport,,
Reb Folbre's Place Airport,,
Recompense Farm Airport,,
Recreation Corporation Airport,,
Rector Airport,,
Red Barn Acres Airport,,
Red Bay Municipal Airport,,
Red Beard Dusting Service Airport,,
Red Cloud Municipal Airport,,
Red Lake Falls Municipal Airport,,
Red Oak Airport,,
Red Oak Landing Airport,,
Red Rock Airport,,
Red Star Airport,,
Red Wing Airport,,
Redeker Airport,,
Redgate Ranch Airport,,
Redhead Airport,,
Redhills Airport,,
Redstone Ranch Airport,,
Redtail Airstrip,,
Redwood Falls Municipal Airport,,KRWF
Reed Airport,,
Reed-Wilsonton Airport,,
Reeder Airport,,
Reelfoot Lake Airport,,
Rees Landing Strip,,
Reese Airport,,
Regier Brothers Airport,,
Reherman Airport,,
Reichhart Airport,,
Reid Farm Airport,,
Reid RLA Airport,,
Reid-Eash Airport,,
Reilly AHP Airport,,
Reimer Aerodrome,,
Reinke Airport,,
Reisig Brothers Airport,,
Reiters Landing Strip,,
Remer Municipal Airport,,
Rempe Private Airport,,
Rendleman Airport,,
Reneberg Landing Strip,,
Renshaw Airport,,
Renz Ranch Airport,,
Republican City Municipal Airport,,
Resaca Airstrip,,
Reservoir Airport,,
Resler Airport,,
Resort Airport,,
Restoration Ranch Airport,,
Retta Airport,,
Revels Strip,,
Reward Ranch Airport,,
Rexford Airport,,
Rexroad Airport,,
Reynolds Airpark,,
Reynolds Airport,,
Reynolds Airport,,
Reynolds Landing Strip,,
Reynolds Landing Strip,,
Rhea RLA Airport,,
Rheude Airport,,
Rhines Roost Airport,,
Rhodes Air Ranch Airport,,
Rhodes Ranch Airport,,
Ribeira Grande,,
Riceland Flying Service Airport,,
Richard B. Helgeson Airport,,KTWM
Richard's Airport,,
Richards Airport,,
Richardson Airport,,
Richardson Strip Airport,,
Richardsons Landing Strip,,
Richie Rich Airport,,
Richmond Airport,,
Richter Airpark,,
Richter Ranch Airport,,
Richters Airport,,
Richwood Municipal Airport,,
Rick Mathias Private Airport,,
Riddle's Roost Airport,,
Riddles Airstrip,,
Ridgeview Airport,,
Ridgeview Farm Airport,,
Ridgeview Ranch Airport,,
Ridgewood Air Airport,,
Ridgway Flying Service Airport,,
Riebeling Airport,,
Riedesel Private Airport,,
Ries Airport,,
Riggins Farms Airport,,
Rigolets Seaplane Base,,
Riley Airport,,
Riley Creek Airport,,
Rimes Lakecrest Airport,,
Rinehart Airport,,
Riner Farm Airport,,
Ringer Landing Strip,,
Ringling Municipal Airport,,
Ringneck Ranch Airport,,
Rinkenberger RLA Airport,,
Rio Azúcar Airport,,
Rio Grande City Municipal Airport,,
Rio Medina Airport,,
Rio Tigre Airport,,
Rio Vista Ranch Airport,,
Riordan Airport,,
Ripley Airport,,
Risalpur Airfield,,
Rising Sun Airport,,
Risky Airport,,
River Acres Airport,,
River Acres Airport,,
River Bend Ranch Airport,,
River Falls Airport,,
River Oak Airport,,
River Ranch Resort Airport,,
River Ridge Ranch Airport,,
River's Edge Farm Airport,,
Riverode Farms Airport,,
Riverside Airport,,
Riverside Airport,,
Riverside Campground Airport,,
Riverside Landings,,
Riverveiw Airport,,
Riverview Airport,,
Riverview Airport,,
Riviera Airport,,
RLM Farms Airport,,
RMR Ranch Airport,,
RNK Ranch Airport,,
Roach Farm Airport,,
Roan Airport,,
Rob Airport,,
Robbins Airport,,
Robbins Landing Strip,,
Robco Airport,,
Roberson Airport,,
Robert A Ashworth Airport,,
Robert Chris McIntosh Airport,,
Robert Lee Airport,,
Robert R Wells Jr. Airport,,
Robert Sibley Airport,,KSZY
Robert Siemers Landing Strip,,
Roberta Industrial Park Airport,,
Roberts Airport,,
Roberts Airport,,
Roberts Farm Airport,,
Roberts Memorial Airport,,
Roberts RLA Airport,,
Roberts Roost Airport,,
Roberts-Jacobi Restricted Airport,,
Robertson Farm Airport,,
Robertson Ranch Airport,,
Robinson Airpark,,
Robinson Airport,,
Robinson Airport,,
Robinson Airport,,
Robinson Airport,,
Robinson Airport,,
Robinson Landing Strip,,
Robinson Private Airport,,
Robinson Ranch Airport,,
Robinson River,RNR,
Robison Airport,,
Robotek Airport,,
Robstown,,
Rock Creek Farm Airport,,
Rock Creek Ranch Airport,,
Rock Cut Farms Airport,,
Rock Port Municipal Airport,,
Rock Rapids Municipal Airport,,KRRQ
Rockenbach Airport,,
Rockin 7 Ranch Airport,,
Rocking A Airport,,
Rocking A Farm Airport,,
Rocking R Ranch Airport,,
Rockledge Airport,,
Rockpile Ranch Airport,,
Rocksprings,,
Rockwall Municipal Airport,,
Rockwell City Municipal Airport,,
Rocky Acres Airport,,
Rocky Creek Ranch Airport,,
Rocky Pine Airport,,
Rocky Point Airport,,
Rocky R Ranch Landing Strip,,
Rocky Ridge Airport,,
Rocky Top Ranch Airport,,
Rockys Place Airport,,
Rodeo Airstrip,,
Rodgers Roost Airport,,
Rods Fox Valley Seaplane Base,,
Roeder Airport,,
Roepke Landing Strip,,
Roger M. Dreyer Memorial Airport,,
Rogers Airport,,
Rogers Airport,,
Rogers Airport,,
Rogers Brothers Landing Strip,,
Rogert Airstrip,,
Roland Airport,,
Roll Brothers Airport,,
Roll-N-Ridge Airport,,
Rollert Farm Airport,,
Rolling Hills Convalescent Center Airport,,
Rolling Shoals Farm Airport,,
Rollins Building Airport,,
Rollins Stolport,,
Rollow Airport,,
Rolpa,RPA,VNRP
Roma Airport,,
Romor Ranch Airport,,
Ron Wood Airport,,
Roney Farms Airport,,
Ronson-Cherry Hill Helistop,,
Ronsse Landing Strip,,
Roos Landing Strip,,
Roosevelt Memorial Airport,,
Roosterville Airport,,
Root Hog Airport,,
Ropp Airpark,,
Rosackers Number 2 Seaplane Base,,
Roscoe McConnico Airport,,
Roscommon Conservation Airport,,
Rose Pork Inc Airport,,
Roseanne Airport,,
Rosedale Airport,,
Roseland Airport,,
Rosenberg Airport,,
Ross Planes Airport,,
Rosser Ranch Airport,,
Rossettie Airport,,
Rossi's Farm Airport,,
Rossler Ranch Airport,,
Rossneck Airport,,
Rostex Airport,,
Roth Airport,,
Rothrock Airport,,
Roto Wing Inc Airport,,
Rotstein Airport,,
Routh Airport,,
Rowe Airport,,
Roy Browder Airport,,
Roy Hurd Memorial Airport,,
Roy Lee Landing Strip,,
Roy Ranch Airport,,
Royal Airport,,
RS Ag-Land Airport,,
Ruby Airport,,
Ruby's Landing,,
Ruckel Airport,,
Rucker Airport,,
Rucker Burdett Airport,,
Ruckl Airport,,
Rucks Dairy Airport,,
Ruder Airport,,
Rumginae Airport,RMN,
Rummel RLA Airport,,
Runner Landing Area,,
Running M Ranch Airport,,
Runsick Flying Service Airport,,
Runway Ranch Airport,,
Runyan Aviation,,
Rupp Airport,,
Rush Airport,,
Rush Airport,,
Rush Airport,,
Rush County Airport,,
Rush Strip Airport,,
Rushford Municipal Airport,,
Rusnaks Private Strip,,
Russell Airport,,
Russell Airport,,
Russell Municipal Airport,,KRSL
Russell Paradise Airport,,
Russells Airport,,
Russells Ranch Airport,,
Rust's Landing Airport,,
Rutherford County Airport,,KFQD
Rutherford Landing Strip,,
Rutherford Ranch Airport,,
Ruti,RUU,
Rutten Dusting Strip,,
Ruzicka Airport,,
RWR Landing Strip,,
Ryan Aerodrome,,
Ryans Airport,,
Rybolt Ranch Airport,,
S & S Avion Ranch Airport,,
S & S Landing Strip Airport,,
S and S Flying Service Airport,,
S and S Landing Strip,,
Sabah,SBV,
Sabetha Municipal Airport,,
Sac City Municipal Airport,,KSKI
Saddleback Ranch Airport,,
Saddleback Ranch Number 2 Airport,,
Sagarai,SGJ,
Sagrera Landing Strip,,
Sahabat Sahabat 16 Airport,SXS,WBKH
Sahoma Lake Airport,,
Saih Rawl,AHW,
Saint Anthony Hospital Airport,,
Saint Dominic-Jackson Memorial Hospital Airport,,
Saint Francis Municipal Airport,,
Saint James Helistop,,
Saint Joseph Hospital Airport,,
Saint Mary Hospital Airport,,
Saint Mary Medical Center Airport,,
Saint Marys Medical Center Airport,,
Saint Marys Seaplane Base,,
Saint Peter Municipal Airport,,
Saint Rose Airport,,
Saint Thomas Hospital Airport,,
Saint Vincent Hospital Health Care Center Airport,,
Saints Strip,,
Salado Airport,,
Salaika Aviation Airport,,
Saline Airport,,
Salmon Falls Airport,,
Salsbery Airport,,
Salser Landing Strip,,
Salt River Airport,,
Salty Approach Airport,,
Saluda County Airport,,
Sammons Airport,,
Sampson Memorial Hospital Airport,,
Samuel L. Clemens Memorial Airport,,
San Augustine County Airport,,
San Benito Municipal Airport,,
San Christoval Ranch Airport,,
San Francisco Airport,,SPSF
San Geronimo Airpark,,
San Jose Island Airport,,
San Pedro Ranch Airport,,
San Rafael Ranch Airport,,
San Saba County Municipal Airport,,
San Ysidro Ranch Airport,,
Sanctuary Airport,,
Sand Bar Seaplane Base,,
Sand Lake Seaplane Base,,
Sand Ridge AirPark Inc,,
Sandbur Ranches Private Airport,,
Sanders Airport,,
Sanders Airport,,
Sanders Gyroport,,
Sanders Ranch Airport,,
Sandor Farms Airstrip,,
Sandstone Municipal Airport,,
Sandusky City Airport,,
Sandwich Airport,,
Sandy Acres Airport,,
Sandy Creek Ranch Airport,,
Sandy Flats Airport,,
Sandy Hill Airport,,
Sandy Point Airport,,
Sandy Run Acres Airport,,
Sanford-Lee County Brick Field Airport,,
Sanford Airport,,
Sanford Seaplane Base,,
Sanko Landing Strip,,
Sans Souci Estate Helistop,,
Santa Fe,
Santa Fe River Ranch Airport,,
Santa Maria Ranch Airport,,
Santa Rosa Helistop,,
Santee Golf Air Strip,,
Santiago Cattle Co. Airport,,
Sapelo Island Airport,,
Sapmanga,SMH,
Saranac Farm Airport,,
Sargent Municipal Airport,,
Sartwelle Ranch Airport,,
Sarzana / Luni,,
Sass Landing Strip,,
Satanta Municipal Airport,,
Saturday Island Tank Battery Seaplane Base,,
Sauer Airport,,
Sauer-Harter Airport,,
Sauk Centre Municipal Airport,,
Savannah Agri-Air Airport,,
Savannah-Hardin County Airport,,KSNH
Savo,,
Saw Whet Farms Airport,,
Sawyer Farm Airport,,
Saxon Farms Airport,,
Sayre Municipal Airport,,
Scandia-Belleville Airport,,
Schaback Strip,,
Schaefer Orchards Landing Strip,,
Schaller Airport,,
Schaper Landing Strip,,
Scheller Airport,,
Schenck Landing Strip,,
Scherer Landing Strip,,
Schertz Aerial Service - Cooksville Airport,,
Schertz Aerial Service - Hudson Airport,,
Schexnayder Airport,,
Schiff Airport,,
Schiffer Acres Airport,,
Schjeldrup Airport,,
Schlemmer Airport,,
Schlosser Airport,,
Schlosser Airport,,
Schmid Airport,,
Schneider Haven Airstrip,,
Schoettmer Farm Airport,,
Schoharie Creek Airport,,
Schoolcraft Airport,,
Schooley Airport,,
Schott Airport,,
Schroeder Airport,,
Schroeder Private Airport,,
Schuler-Olsen Landing Strip,,
Schultz Landing Strip,,
Schumacher Airport,,
Schumaier RLA Airport,,
Schurr Airport,,
Schurr Landing Strip,,
Schutte Airport,,
Schuy-Rush Airport,,
Schuyler Airport,,
Schwartz Farms Inc Airport,,
Schwerin Landing Strip,,
Scotia Airport,,
Scotland Neck East Airport,,
Scott 2000 Airport,,
Scott Airport,,
Scott Airport,,
Scott Airstrip,,
Scott City Municipal Airport,,KTQK
Scott's Sky Ranch Airport,,
Scottbrook Farm Airport,,
Scottsburg Airport,,
Scotty's Place Airport,,
Scrabeck Airport,,
Scrappin Valley Airport,,
Scurry Airport,,
Scusciuban Airport,,
Seacat Brothers Landing Strip,,
Seafood Warehouse Park Airport,,
Seagoville Airport,,
Seagraves Airport,,
Searle Airport,,KOGA
Searls RLA 59 Airport,,
Sears Airport,,
Seaways South Incorporated Seaplane Base,,
Sebastian Cove Airport,,
Sebewaing Airport,,
Secrest Ranch Airport,,
Secret Spot Airport,,
Sedan City Airport,,
Sedivy Landing Strip,,
Seeligson Ranch Airport,,
Seeman Airport,,
Segars Airport,,
Sehoy Airport,,
Seidel Ranch Airport,,
Seigfried Halfpap Airport,,
Seigmanns Airport,,
Seiling Airport,,
Seitz Landing Strip,,
Selbang,SBC,
Selby Farm Airport,,
Selfs Airport,,KMMS
Sellers Airport,,
Sellers Airport,,
Sells Airport,,
Seminole,,
Seminole Spraying Service Airport,,
Seneca Falls Municipal Airport,,
Seneca Municipal Airport,,
Senneker Landing Strip,,
Sepik Plains,SPV,
Sepulot Airport,SPE,WBKO
Sequoyah Park Airport,,
Seratt Airport,,
Serenity Airport,,
Set Helistop,,
Sethney Personal Airport,,
Seven Bar Ranch Airport,,
Seven C's Ranch Airport,,
Seven Feathers Airport,,
Seven G's Seaplane Base,,
Seven Gullies Airport,,
Seven Hills Airport,,
Seven Lakes Airport,,
Seven Springs Airport,,
Severson Airport,,
Seward Municipal Airport,,KSWT
Sexton Airport,,
Seymour Air Park,,
Seymour Landing Strip,,
Seymour Municipal Airport,,
Sha-Wan-Ga Valley Airport,,
Shade Tree Airport,,
Shady Bend Airport,,
Shadycreek Acres Airport,,
Shafer Metro East Airport,,
Shakamak Airport,,
Shale Valley Ranch Airport,,
Shamrock Airport,,
Shamrock Municipal Airport,,
Shands Helistop,,
Shanks Ag Strip,,
Shannon Flight Strip,,
Sharp Airport,,
Sharp Landing Strip,,
Sharpe Farms Airport,,
Sharpe's Strip Airport,,
Shaughnessy Seaplane Base,,
Shaw Aerial Spraying Airport,,
Shaw Crop Service Airport,,
Shealy Airport,,
Shearer Airport,,
Sheets Airport,,
Shehan Airpark,,
Shelburnes Airport,,
Shelby Air Service,,
Shelby County Sheriffs Department Substation Airport,,
Sheldon Municipal Airport,,KSHL
Shell Central Facilities Seaplane Base,,
Shell Creek Airpark,,
Shell-Woodbury Number One,,
Shelley Landing Strip,,
Shelor Airport,,
Sheltons Airport,,
Shenandoah Municipal Airport,,KSDA
Shenandoah Valley Farms Airport,,
Shenk Airport,,
Shepard Airport,,
Shepherd Airport,,
Sheridan Municipal Airport,,
Sheriffs Helistop,,
Sherman Airport,,
Sherman Airport,,
Sherman Airport,,
Sherwood Farm Airport,,
Shields Airport,,
Shields Airport,,
Shilling's Airport,,
Shilo Farms Airport,,
Shiloh Airport,,
Shiloh Airport,,
Shiloh Plantation Airport,,
Shinn Bone Lane Airport,,
Shirley Williams Airport,,
Shissler Landing Strip,,
Shissler Seed Company Incorporated Airport,,
Shissler Seed Company Incorporated Airport,,
Shivers Airport,,
Shoemaker-Shelby Forest Airport,,
Shofner Farms Airport,,
Shore Airport,,
Short Air Airport,,
Short Creek Airport,,
Short Stop Airport,,
Short-N-Ruff Airport,,
Shorthorn Auxiliary Landing Strip,,
Show Me the Sky Airport,,
Shubert Airport,,
Shuinan Airport,,
Shultz,,
Shupe Airport,,
Siassi,SSS,
Sibbernsen Airport,,
Sibley Municipal Airport,,KISB
Sickler Airstrip,,
Sids Strip,,
Siefert Airport,,
Sieg's Farm Airport,,
Siegmanns Airport,,
Sig-Nor Airport,,
Sigourney Iowa Airport,,
Sikes Farm Airport,,
Siler Airport,,
Silers Plane Valley Airport,,
Sills Air Park,,
Silur,SWR,
Silver City Airpark,,
Silver Creek Airport,,
Silver Lake Airport,,
Silver Wings Airport,,
Silverton Municipal Airport,,
Sim,SMJ,
Simar Landing Strip,,
Simbai Airport,SIM,
Simmons Airport,,
Simmons Airport,,
Simpson Airport,,
Simpson Airport,,
Simpson Landing Strip,,
Sindt Airport,,
Sinele Strip,,
Sineles Sunset Strip,,
Sines Airport,,
Singapore Highway Strip Pioneer,,
Singing River Hospital Airport,,
Singleton's Landing Strip Airport,,
Sintra Mil.,,
Sioux Center Municipal Airport,,KSOY
Sipitang Airport,SPT,
Sissano,SIZ,
Six Oaks Airport,,
Sixberrys Landing Seaplane Base,,
Sizer Airport,,
Skalitsky Airport,,
Skarda/Tollville Airport,,
Skeeter Landing Airport,,
Skellytown Airport,,
Skelton Landing Strip,,
Ski Harbor Airport,,
Skiatook Municipal Airport,,
Skida Patch Airport,,
Skillet Fork Farm Airport,,
Skinner Airport,,
Skinner Airport,,
Skinners Wholesale Nursery Airport,,
Skip's Place Airport,,
Skis Landing Area,,
Sky Acres Airport,,
Sky Harbor Residential Airpark,,
Sky Harbor Seaplane Terminal,,
Sky High Airport,,
Sky Landings Airport,,
Sky Lane Ranch Airport,,
Sky Lodge Landing Strip,,
Sky Manor Aero Estates Airport,,
Sky Meadow Airport,,
Sky Park Airport,,
